Order_ID,Order_Date,Customer_ID,Product_ID,Quantity,Unit_Price,Total_Amount,Payment_Status
1001,2026-01-05,C001,P101,2,500,1000,Paid
1002,2026-01-08,C002,P102,1,1200,1200,Paid
1003,2026-01-12,C003,P103,5,100,500,Paid
1004,2026-01-15,C004,P101,3,500,1500,Pending
1005,2026-01-18,C005,P104,10,50,500,Paid
1006,2026-01-20,C001,P105,2,800,1600,Paid
1007,2026-01-22,C006,P102,1,1200,1200,Overdue
1008,2026-01-25,C002,P106,4,300,1200,Paid
1009,2026-01-28,C007,P103,3,100,300,Pending
1010,2026-01-30,C003,P101,1,500,500,Paid
1011,2026-02-02,C008,P107,2,1500,3000,Paid
1012,2026-02-05,C004,P104,15,50,750,Paid
1013,2026-02-08,C009,P102,2,1200,2400,Overdue
1014,2026-02-10,C001,P108,1,2000,2000,Paid
1015,2026-02-12,C005,P103,8,100,800,Paid
1016,2026-02-15,C010,P101,4,500,2000,Pending
1017,2026-02-18,C006,P105,3,800,2400,Paid
1018,2026-02-20,C002,P109,5,150,750,Paid
1019,2026-02-22,C011,P104,20,50,1000,Paid
1020,2026-02-25,C003,P102,2,1200,2400,Overdue
1021,2026-02-28,C007,P106,2,300,600,Paid
1022,2026-03-02,C012,P107,1,1500,1500,Paid
1023,2026-03-05,C008,P101,3,500,1500,Paid
1024,2026-03-08,C001,P103,10,100,1000,Pending
1025,2026-03-10,C013,P110,2,2500,5000,Paid
1026,2026-03-12,C009,P104,25,50,1250,Paid
1027,2026-03-15,C004,P102,1,1200,1200,Paid
1028,2026-03-18,C014,P105,4,800,3200,Overdue
1029,2026-03-20,C010,P108,1,2000,2000,Paid
1030,2026-03-22,C002,P103,6,100,600,Paid
1031,2026-03-25,C015,P101,5,500,2500,Pending
1032,2026-03-28,C005,P106,3,300,900,Paid
1033,2026-03-30,C011,P107,2,1500,3000,Paid
1034,2026-04-01,C016,P109,10,150,1500,Paid
1035,2026-04-02,C006,P102,3,1200,3600,Overdue
1036,2026-04-03,C012,P104,30,50,1500,Paid
1037,2026-04-04,C001,P110,1,2500,2500,Paid
1038,2026-04-05,C017,P101,4,500,2000,Pending
1039,2026-04-06,C008,P105,2,800,1600,Paid
1040,2026-04-07,C003,P103,7,100,700,Paid
1041,2026-04-08,C018,P108,1,2000,2000,Paid
1042,2026-04-09,C013,P102,2,1200,2400,Paid
1043,2026-04-10,C007,P104,12,50,600,Overdue
1044,2026-04-11,C019,P107,3,1500,4500,Paid
1045,2026-04-12,C014,P101,2,500,1000,Paid
1046,2026-04-13,C009,P110,1,2500,2500,Pending
1047,2026-04-14,C020,P103,4,100,400,Paid
1048,2026-04-15,C002,P105,3,800,2400,Paid
1049,2026-04-16,C015,P106,5,300,1500,Paid
1050,2026-04-17,C010,P104,18,50,900,Paid
1051,2026-04-18,C021,P101,6,500,3000,Overdue
1052,2026-04-18,C016,P102,1,1200,1200,Paid
1053,2026-04-19,C004,P109,8,150,1200,Pending
1054,2026-04-19,C022,P107,2,1500,3000,Paid
1055,2026-04-19,C011,P103,9,100,900,Paid
1056,2026-04-20,C017,P105,1,800,800,Paid
1057,2026-04-20,C023,P108,2,2000,4000,Paid
1058,2026-04-20,C005,P104,22,50,1100,Overdue
1059,2026-04-20,C018,P101,3,500,1500,Paid
1060,2026-04-20,C024,P102,4,1200,4800,Pending
